2020-12-02 15:48:33 | FUNC:Welcome | UNIT: nil | TEXT: Вас приветствует "Silika-FileManager Контроллер" v1.1 (11112020) 
2020-12-02 15:50:03 | FUNC:Welcome | UNIT: nil | TEXT: Good by
2020-12-02 15:50:28 | FUNC:Welcome | UNIT: nil | TEXT: Вас приветствует "Silika-FileManager Контроллер" v1.1 (11112020) 
2020-12-02 16:42:38 | FUNC:Welcome | UNIT: nil | TEXT: Good by
2020-12-02 16:44:24 | FUNC:Welcome | UNIT: nil | TEXT: Вас приветствует "Silika-FileManager Контроллер" v1.1 (11112020) 
2020-12-02 16:47:33 | FUNC:Welcome | UNIT: nil | TEXT: Good by
2020-12-02 17:34:22 | FUNC:Welcome | UNIT: nil | TEXT: Вас приветствует "Silika-FileManager Контроллер" v1.1 (11112020) 
2020-12-03 21:48:59 | FUNC:Welcome | UNIT: nil | TEXT: Good by
2020-12-06 13:24:01 | FUNC:Welcome | UNIT: nil | TEXT: Вас приветствует "Silika-FileManager Контроллер" v1.1 (11112020) 
2020-12-06 23:36:38 | FUNC:Welcome | UNIT: nil | TEXT: Good by
