2020-12-01 19:13:33 | FUNC:Processor | UNIT: 6099 | TEXT: Миньен инициализирован
2020-12-01 19:13:33 | FUNC:Processor | UNIT: 6100 | TEXT: Миньен инициализирован
2020-12-01 19:13:33 | FUNC:Processor | UNIT: 6101 | TEXT: Миньен инициализирован
2020-12-01 19:14:45 | FUNC:Processor | UNIT: nil | TEXT: Модуль-балансировщик инициализация
2020-12-01 19:14:45 | FUNC:Processor | UNIT: 6101 | TEXT: Миньен инициализирован
2020-12-01 19:14:45 | FUNC:Processor | UNIT: 6100 | TEXT: Миньен инициализирован
2020-12-01 19:14:45 | FUNC:Processor | UNIT: 6099 | TEXT: Миньен инициализирован
2020-12-01 19:18:11 | FUNC:Processor | UNIT: nil | TEXT: Модуль-балансировщик инициализация
2020-12-01 19:18:11 | FUNC:Processor | UNIT: 6100 | TEXT: Миньен инициализирован
2020-12-01 19:18:11 | FUNC:Processor | UNIT: 6101 | TEXT: Миньен инициализирован
2020-12-01 19:18:12 | FUNC:Processor | UNIT: 6099 | TEXT: Миньен инициализирован
2020-12-01 19:18:30 | FUNC:Processor | UNIT: nil | TEXT: Модуль-балансировщик инициализация
2020-12-01 19:18:30 | FUNC:Processor | UNIT: 6100 | TEXT: Миньен инициализирован
2020-12-01 19:18:30 | FUNC:Processor | UNIT: 6101 | TEXT: Миньен инициализирован
2020-12-01 19:18:30 | FUNC:Processor | UNIT: 6099 | TEXT: Миньен инициализирован
2020-12-02 00:38:46 | FUNC:Processor | UNIT: nil | TEXT: Модуль-балансировщик инициализация
2020-12-02 00:38:47 | FUNC:Processor | UNIT: 6101 | TEXT: Миньен инициализирован
2020-12-02 00:38:47 | FUNC:Processor | UNIT: 6099 | TEXT: Миньен инициализирован
2020-12-02 00:38:47 | FUNC:Processor | UNIT: 6100 | TEXT: Миньен инициализирован
2020-12-02 00:38:49 | FUNC:Processor | UNIT: 6101 | TEXT: Завершение
2020-12-02 00:38:49 | FUNC:Processor | UNIT: 6099 | TEXT: Завершение
2020-12-02 00:38:49 | FUNC:Processor | UNIT: 6100 | TEXT: Завершение
2020-12-02 00:38:49 | FUNC:Processor | UNIT: nil | TEXT: Модуль-балансировщик завершил все миньоны
2020-12-02 00:39:31 | FUNC:Processor | UNIT: nil | TEXT: Модуль-балансировщик инициализация
2020-12-02 00:39:31 | FUNC:Processor | UNIT: 6100 | TEXT: Миньен инициализирован
